"filename", "language", "XML", "C#", "Markdown", "JSON", "C++", "PowerShell", "Log", "Batch", "comment", "blank", "total"
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.Mvc.TagHelpers.xml", "XML", 1718, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1719
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.Mvc.ViewFeatures.xml", "XML", 9236, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9238
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.Mvc.xml", "XML", 181, 0, 0, 0, 0, 0, 0, 0, 0, 1, 182
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.Razor.Runtime.xml", "XML", 434, 0, 0, 0, 0, 0, 0, 0, 0, 1, 435
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.Razor.xml", "XML", 1014, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1015
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.ResponseCaching.Abstractions.xml", "XML", 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.ResponseCaching.xml", "XML", 181, 0, 0, 0, 0, 0, 0, 0, 0, 1, 182
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.ResponseCompression.xml", "XML", 264, 0, 0, 0, 0, 0, 0, 0, 0, 1, 265
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.Rewrite.xml", "XML", 494, 0, 0, 0, 0, 0, 0, 0, 0, 1, 495
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.Routing.Abstractions.xml", "XML", 563, 0, 0, 0, 0, 0, 0, 0, 0, 2, 565
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.Routing.xml", "XML", 3750, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3756
